13345	https://www.metmuseum.org/art/collection/search/13345	https://images.metmuseum.org/CRDImages/ad/original/DT2076.jpg	https://images.metmuseum.org/CRDImages/ad/web-additional/DT2076.jpg	\N	\N	\N	CC0	1.0	Thomas Waterman Wood	\N	A Bit of War History: The Contraband	{"accession_number": "84.12a", "classification": "Paintings", "culture": "American", "date": "1865", "medium": "Oil on canvas", "credit_line": "Gift of Charles Stewart Smith, 1884"}	\N	f	met	met
39665	https://www.metmuseum.org/art/collection/search/39665	https://images.metmuseum.org/CRDImages/as/original/LC-55_94_1_2_001.jpg	https://images.metmuseum.org/CRDImages/as/web-additional/LC-55_94_1_2_001.jpg	\N	\N	\N	CC0	1.0	Tosa Mitsuyoshi	\N	Scenes from The Tale of Genji: “The Royal Outing,” “Ukifune,” and “The Gatehouse”	{"accession_number": "55.94.1, .2", "classification": "Screens", "culture": "Japan", "date": "mid-16th\u2013early 17th century", "medium": "Pair of four-panel folding screens; ink, color, and gold leaf on paper", "credit_line": "Fletcher Fund, 1955", "set": "https://www.metmuseum.org/art/collection/search/39665"}	\N	f	met	met
39665-1	https://www.metmuseum.org/art/collection/search/39665	https://images.metmuseum.org/CRDImages/as/original/LC-55_94_1_2_002.jpg	https://images.metmuseum.org/CRDImages/as/web-additional/LC-55_94_1_2_002.jpg	\N	\N	\N	CC0	1.0	Tosa Mitsuyoshi	\N	Scenes from The Tale of Genji: “The Royal Outing,” “Ukifune,” and “The Gatehouse”	{"accession_number": "55.94.1, .2", "classification": "Screens", "culture": "Japan", "date": "mid-16th\u2013early 17th century", "medium": "Pair of four-panel folding screens; ink, color, and gold leaf on paper", "credit_line": "Fletcher Fund, 1955", "set": "https://www.metmuseum.org/art/collection/search/39665"}	\N	f	met	met
39665-2	https://www.metmuseum.org/art/collection/search/39665	https://images.metmuseum.org/CRDImages/as/original/DP279209.jpg	https://images.metmuseum.org/CRDImages/as/web-additional/DP279209.jpg	\N	\N	\N	CC0	1.0	Tosa Mitsuyoshi	\N	Scenes from The Tale of Genji: “The Royal Outing,” “Ukifune,” and “The Gatehouse”	{"accession_number": "55.94.1, .2", "classification": "Screens", "culture": "Japan", "date": "mid-16th\u2013early 17th century", "medium": "Pair of four-panel folding screens; ink, color, and gold leaf on paper", "credit_line": "Fletcher Fund, 1955", "set": "https://www.metmuseum.org/art/collection/search/39665"}	\N	f	met	met
39665-3	https://www.metmuseum.org/art/collection/search/39665	https://images.metmuseum.org/CRDImages/as/original/DP279210.jpg	https://images.metmuseum.org/CRDImages/as/web-additional/DP279210.jpg	\N	\N	\N	CC0	1.0	Tosa Mitsuyoshi	\N	Scenes from The Tale of Genji: “The Royal Outing,” “Ukifune,” and “The Gatehouse”	{"accession_number": "55.94.1, .2", "classification": "Screens", "culture": "Japan", "date": "mid-16th\u2013early 17th century", "medium": "Pair of four-panel folding screens; ink, color, and gold leaf on paper", "credit_line": "Fletcher Fund, 1955", "set": "https://www.metmuseum.org/art/collection/search/39665"}	\N	f	met	met
39665-4	https://www.metmuseum.org/art/collection/search/39665	https://images.metmuseum.org/CRDImages/as/original/DP279211.jpg	https://images.metmuseum.org/CRDImages/as/web-additional/DP279211.jpg	\N	\N	\N	CC0	1.0	Tosa Mitsuyoshi	\N	Scenes from The Tale of Genji: “The Royal Outing,” “Ukifune,” and “The Gatehouse”	{"accession_number": "55.94.1, .2", "classification": "Screens", "culture": "Japan", "date": "mid-16th\u2013early 17th century", "medium": "Pair of four-panel folding screens; ink, color, and gold leaf on paper", "credit_line": "Fletcher Fund, 1955", "set": "https://www.metmuseum.org/art/collection/search/39665"}	\N	f	met	met
39665-5	https://www.metmuseum.org/art/collection/search/39665	https://images.metmuseum.org/CRDImages/as/original/DP279212.jpg	https://images.metmuseum.org/CRDImages/as/web-additional/DP279212.jpg	\N	\N	\N	CC0	1.0	Tosa Mitsuyoshi	\N	Scenes from The Tale of Genji: “The Royal Outing,” “Ukifune,” and “The Gatehouse”	{"accession_number": "55.94.1, .2", "classification": "Screens", "culture": "Japan", "date": "mid-16th\u2013early 17th century", "medium": "Pair of four-panel folding screens; ink, color, and gold leaf on paper", "credit_line": "Fletcher Fund, 1955", "set": "https://www.metmuseum.org/art/collection/search/39665"}	\N	f	met	met
39665-6	https://www.metmuseum.org/art/collection/search/39665	https://images.metmuseum.org/CRDImages/as/original/DP279213.jpg	https://images.metmuseum.org/CRDImages/as/web-additional/DP279213.jpg	\N	\N	\N	CC0	1.0	Tosa Mitsuyoshi	\N	Scenes from The Tale of Genji: “The Royal Outing,” “Ukifune,” and “The Gatehouse”	{"accession_number": "55.94.1, .2", "classification": "Screens", "culture": "Japan", "date": "mid-16th\u2013early 17th century", "medium": "Pair of four-panel folding screens; ink, color, and gold leaf on paper", "credit_line": "Fletcher Fund, 1955", "set": "https://www.metmuseum.org/art/collection/search/39665"}	\N	f	met	met
39665-7	https://www.metmuseum.org/art/collection/search/39665	https://images.metmuseum.org/CRDImages/as/original/DP279214.jpg	https://images.metmuseum.org/CRDImages/as/web-additional/DP279214.jpg	\N	\N	\N	CC0	1.0	Tosa Mitsuyoshi	\N	Scenes from The Tale of Genji: “The Royal Outing,” “Ukifune,” and “The Gatehouse”	{"accession_number": "55.94.1, .2", "classification": "Screens", "culture": "Japan", "date": "mid-16th\u2013early 17th century", "medium": "Pair of four-panel folding screens; ink, color, and gold leaf on paper", "credit_line": "Fletcher Fund, 1955", "set": "https://www.metmuseum.org/art/collection/search/39665"}	\N	f	met	met
39665-8	https://www.metmuseum.org/art/collection/search/39665	https://images.metmuseum.org/CRDImages/as/original/DP279215.jpg	https://images.metmuseum.org/CRDImages/as/web-additional/DP279215.jpg	\N	\N	\N	CC0	1.0	Tosa Mitsuyoshi	\N	Scenes from The Tale of Genji: “The Royal Outing,” “Ukifune,” and “The Gatehouse”	{"accession_number": "55.94.1, .2", "classification": "Screens", "culture": "Japan", "date": "mid-16th\u2013early 17th century", "medium": "Pair of four-panel folding screens; ink, color, and gold leaf on paper", "credit_line": "Fletcher Fund, 1955", "set": "https://www.metmuseum.org/art/collection/search/39665"}	\N	f	met	met
