identifier,normalized_popularity
64679b12-a889-4837-923d-d60833ae468f,60.84831106836865
f308c6d4-0000-4ca5-afe0-f78a34860234,81.445509136327
02c8b278-4bed-442a-8d9d-0b121d4662c6,90.92503588274899
2b24c6ae-677e-412f-ae54-3e8098c43568,48.30572238027533
0ab30d8c-be5d-4287-88a8-998adc9a2da1,29.938113488751974
d0f4f669-426a-4711-847e-cdc2ebd4a6c8,41.63794310077672
34113b9a-e6f8-4ccb-96c7-4bb2e7b9c9d5,17.668142663015573
a0ef0ee6-16eb-4d9b-b733-c689dfee18a0,56.93939249353244
e912d573-936a-4448-934e-9ee562fa66b0,28.365273669958857
f63c2d2d-a080-49e6-8831-f1c9909325b7,31.362194300571954
d1748e1a-b378-4b91-b7be-bf000e63d1a5,44.08598273985697
c60297aa-cfbb-4a30-99f2-70cdcb3b679a,20.70318152784225
afff71d1-d7e5-467e-b2f0-716774d2344a,15.070361717674018
3d687ed8-7e1a-4fc7-866b-a2bd70f216f5,62.776156256131024
0ee5a178-062c-4f59-acbc-3e5101e5bdbf,87.02447022697635
a9b0411d-42a0-4e44-908b-ceef072819bb,60.97127261199902
b762dff6-e976-4368-83db-a704ea759b20,74.33769224395962
e832b250-85c5-493c-b58f-3acd8e52d43a,49.19123155328262
f261db6c-237c-4ba5-b26e-515f15d8bf9f,99.77402057949082
f3dab480-717b-4256-b26e-d5c400f48a1a,14.769989654418325
a7e22b11-d009-4f5c-a48f-addfd690b833,83.70705421263631
9b408daf-d888-4b34-8db7-1209cb799eac,28.933248762689743
fd07183e-64f0-4c13-bd5f-451957dd496b,22.39474169799447
d7bb11d7-6131-499b-a4a6-a7793af7d86d,68.15960909653211
3cdc9e65-8443-4591-a205-03bd0528316d,36.52151579460515
b388aff8-d4b8-4011-b804-444c728d0ab9,51.51788459364786
b879ca24-1e74-4e91-aee7-7d8fd4c61cba,16.15395803700057
5ad403a4-bb8b-4b92-9faa-773cd885e6e6,14.05088021355999
291114e5-256e-4ae7-81bc-f13e847c3d6f,78.27527869753438
219dda79-6330-43f4-a84c-b8d2a1a2c0f8,88.17251124718909
5d8269e3-7965-4ba0-a1e9-bff5cb0a5499,36.96749451928769
dd45510c-c56f-4148-927f-4990c5a8836b,74.54503293735269
